               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.084698,            0.035001,            0.019624,             0.43879,             0.59353,             0.50413,             0.17041,            0.051773,            0.022173,            0.015246,           0.0033261,           0.0033261,            0.070065
                   1,            0.060167,            0.028754,           0.0091229,             0.73787,             0.69513,             0.75894,             0.33345,              0.0496,            0.019188,            0.004651,           0.0066581,           0.0066581,            0.040064
                   2,            0.054328,            0.027674,           0.0055754,             0.85269,              0.7647,             0.82921,             0.42896,            0.043281,            0.019401,           0.0049792,           0.0099849,           0.0099849,            0.010057
                   3,            0.047087,             0.02676,           0.0047476,             0.88894,             0.80933,             0.87964,             0.47941,            0.039377,              0.0179,           0.0032446,           0.0099822,           0.0099822,           0.0099822
                   4,            0.043138,            0.026329,           0.0038992,             0.91384,             0.82019,             0.89785,             0.50965,             0.03521,            0.017482,           0.0029926,           0.0099822,           0.0099822,           0.0099822
                   5,            0.039677,            0.025484,           0.0037172,             0.89996,             0.80857,             0.88759,             0.48475,            0.035078,            0.017495,           0.0038767,           0.0099685,           0.0099685,           0.0099685
                   6,            0.038469,            0.025595,           0.0036271,             0.91538,             0.82929,              0.9034,              0.5272,            0.033934,            0.016975,           0.0029008,           0.0099508,           0.0099508,           0.0099508
                   7,            0.037463,            0.024429,           0.0030995,             0.90357,             0.84494,             0.90959,             0.53023,            0.033021,            0.016972,           0.0025612,           0.0099291,           0.0099291,           0.0099291
                   8,            0.037152,            0.025302,           0.0030681,             0.92449,             0.82932,             0.91057,             0.53118,            0.032832,            0.016838,           0.0026297,           0.0099037,           0.0099037,           0.0099037
                   9,            0.036698,            0.024928,           0.0032539,             0.91365,             0.83377,             0.90121,             0.52501,            0.033393,            0.017207,           0.0026206,           0.0098743,           0.0098743,           0.0098743
